action_ref,owner,pin_type,kind,repo_count,total_uses
Swatinem/rust-cache@v2,Swatinem,tag,action,1,6
prefix-dev/setup-pixi@v0,prefix-dev,tag,action,1,6
astral-sh/setup-uv@v5,astral-sh,tag,action,6,6
technote-space/get-diff-action@v6,technote-space,tag,action,1,6
r-lib/actions/setup-r@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
r-lib/actions/setup-pandoc@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
SonarSource/sonarqube-scan-action@v6,SonarSource,tag,action,6,6
marocchino/sticky-pull-request-comment@v2,marocchino,tag,action,6,6
mshick/add-pr-comment@8e4927817251f1ff60c001f04568532b38e0b4a0,mshick,sha,action,4,6
r-lib/actions/setup-r-dependencies@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
r-lib/actions/check-r-package@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
terraform-linters/setup-tflint@v4,terraform-linters,tag,action,6,6
browserstack/github-actions/setup-local@5962ee78f5cf0647e9ff00026c3b98c307daa251,browserstack,sha,action,1,6
sisodiya2421/pinger@master,sisodiya2421,branch,action,1,6
LouisBrunner/checks-action@87e7256e004e2625f00da7b5fd8c855cb520da89,LouisBrunner,sha,action,1,6
allenevans/set-env@b68e0a75c99b96b43963b54bc2be13e2f103ad87,allenevans,sha,action,2,6
peter-evans/repository-dispatch@v2,peter-evans,tag,action,6,6
crazy-max/ghaction-github-labeler@v6,crazy-max,tag,action,6,6
chrnorm/deployment-status@releases/v1,chrnorm,branch,action,3,6
anothrNick/github-tag-action@1.39.0,anothrNick,tag,action,4,6
Mattraks/delete-workflow-runs@v2,Mattraks,tag,action,6,6
technote-space/get-diff-action@v6,technote-space,tag,action,1,6
repo-sync/pull-request@v2,repo-sync,tag,action,4,6
stCarolas/setup-maven@v4.4,stCarolas,tag,action,3,6
ruby/setup-ruby@v1,ruby,tag,action,5,5
snyk/actions/docker@master,snyk,branch,action,3,5
conda-incubator/setup-miniconda@v3,conda-incubator,tag,action,1,5
tj-actions/changed-files@v46,tj-actions,tag,action,2,5
iamtheyammer/branch-env-vars@v1.0.4,iamtheyammer,tag,action,5,5
stumason/codebuild-logs@v3,stumason,tag,action,5,5
dependabot/fetch-metadata@v2.4.0,dependabot,tag,action,5,5
SonarSource/sonarqube-scan-action@v5,SonarSource,tag,action,5,5
hmarr/debug-action@v3,hmarr,tag,action,5,5
nf-core/setup-nextflow@6c2e22b4d901f0c42ca66c5069f8026df026d165,nf-core,sha,action,2,5
astral-sh/setup-uv@61cb8a9741eeb8a550a1b8544337180c0fc8476b,astral-sh,sha,action,2,5
dawidd6/action-download-artifact@v2,dawidd6,tag,action,5,5
Seagen/tops-data-science/.github/workflows/docker-build-push-gcp.yml@add-filename-for-docker,Seagen,branch,reusable_workflow,1,5
zentered/bluesky-post-action@80dbe0a7697de18c15ad22f4619919ceb5ccf597,zentered,sha,action,5,5
j178/prek-action@bdca6f102f98e2b4c7029491a53dfd366469e33d,j178,sha,action,2,5
astral-sh/setup-uv@v6,astral-sh,tag,action,4,5
webfactory/ssh-agent@v0.9.0,webfactory,tag,action,2,5
stefanzweifel/git-auto-commit-action@v5,stefanzweifel,tag,action,3,5
psf/black@stable,psf,branch,action,5,5
tj-actions/changed-files@v45,tj-actions,tag,action,3,5
simple-elf/allure-report-action@master,simple-elf,branch,action,1,4
peter-evans/create-pull-request@v7,peter-evans,tag,action,3,4
crazy-max/ghaction-docker-meta@v1,crazy-max,tag,action,2,4
databricks/setup-cli@9925cdb329614cccdba6f9a847ae9c095db12b13,databricks,sha,action,2,4
byu-oit/github-action-create-ecr-repo-if-missing@v2,byu-oit,tag,action,1,4
peaceiris/actions-gh-pages@v2,peaceiris,tag,action,1,4
dependency-check/Dependency-Check_Action@main,dependency-check,branch,action,3,4
oven-sh/setup-bun@v2,oven-sh,tag,action,3,4
jfrog/setup-jfrog-cli@v4,jfrog,tag,action,4,4
ncipollo/release-action@v1,ncipollo,tag,action,2,4
pnpm/action-setup@fc06bc1257f339d1d5d8b3a19a8cae5388b55320,pnpm,sha,action,1,4
appleboy/ssh-action@v1.2.0,appleboy,tag,action,1,4
shivammathur/setup-php@v2,shivammathur,tag,action,1,4
ruby/setup-ruby@afeafc3d1ab54a631816aba4c914a0081c12ff2f,ruby,sha,action,1,4
Wandalen/wretry.action@v1.0.11,Wandalen,tag,action,1,4
peter-evans/create-or-update-comment@v2,peter-evans,tag,action,1,4
tj-actions/branch-names@v5.2,tj-actions,tag,action,1,4
j178/prek-action@6ad80277337ad479fe43bd70701c3f7f8aa74db3,j178,sha,action,2,4
seqeralabs/action-tower-launch@51565b514bff1827cf34620de25d0055759f1fc9,seqeralabs,sha,action,2,4
prefix-dev/setup-pixi@5185adfbffb4bd703da3010310260805d89ebb11,prefix-dev,sha,action,4,4
pnpm/action-setup@0e279bb959325dab635dd2c09392533439d90093,pnpm,sha,action,2,4
chromaui/action@v1,chromaui,tag,action,2,4
muhfaris/request-action@v0.1.2,muhfaris,tag,action,2,4
dependabot/fetch-metadata@v2.3.0,dependabot,tag,action,4,4
ncipollo/release-action@v1,ncipollo,tag,action,2,4
anothrNick/github-tag-action@1.64.0,anothrNick,tag,action,4,4
dorny/paths-filter@v3,dorny,tag,action,2,4
marocchino/sticky-pull-request-comment@v2,marocchino,tag,action,1,4
astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b,astral-sh,sha,action,2,4
pnpm/action-setup@v4,pnpm,tag,action,1,4
eWaterCycle/setup-apptainer@main,eWaterCycle,branch,action,4,4
octokit/request-action@v2.x,octokit,tag,action,3,4
pietrobolcato/action-read-yaml@1.1.0,pietrobolcato,tag,action,4,4
conda-incubator/setup-miniconda@a4260408e20b96e80095f42ff7f1a15b27dd94ca,conda-incubator,sha,action,4,4
dorny/paths-filter@v2,dorny,tag,action,4,4
gradle/gradle-build-action@v2,gradle,tag,action,3,4
NuGet/setup-nuget@v1,NuGet,tag,action,2,4
nf-core/setup-nf-test@v1,nf-core,tag,action,3,4
astral-sh/setup-uv@d4b2f3b6ecc6e67c4457f6d3e41ec42d3d0fcb86,astral-sh,sha,action,3,4
Azure/functions-action@v1,Azure,tag,action,4,4
nf-core/setup-nf-test@4069fbbaabe94c08faba4ad261bfa88225ba133f,nf-core,sha,action,1,4
dorny/paths-filter@de90cc6fb38fc0963ad72b210f1f284cd68cea36,dorny,sha,action,1,4
GuillaumeFalourd/assert-command-line-output@2cd32f7751887b5ef1886521de68ea2ec3e2aee7,GuillaumeFalourd,sha,action,1,4
chetan/git-restore-mtime-action@bca85c11349c76b2dbac06d07edf6c2407dbab1e,chetan,sha,action,2,4
webfactory/ssh-agent@v0.9.0,webfactory,tag,action,1,4
softprops/action-gh-release@v2,softprops,tag,action,4,4
nf-core/setup-nextflow@b9f764e8ba5c76b712ace14ecbfcef0e40ae2dd8,nf-core,sha,action,1,3
peter-evans/create-or-update-comment@v4,peter-evans,tag,action,1,3
prefix-dev/setup-pixi@a0af7a228712d6121d37aba47adf55c1332c9c2e,prefix-dev,sha,action,2,3
rzr/fediverse-action@563159eb8d45f70ab6aaba36ed55cd037e51f441,rzr,sha,action,3,3
clowdhaus/terraform-composite-actions/pre-commit@v1.11.1,clowdhaus,tag,action,1,3
prefix-dev/setup-pixi@v0.9.6,prefix-dev,tag,action,1,3
databricks/setup-cli@main,databricks,branch,action,1,3
dependabot/fetch-metadata@v1.6.0,dependabot,tag,action,2,3
jwalton/gh-find-current-pr@v1,jwalton,tag,action,1,3
chrnorm/deployment-status@6df8d036fd2fee9eb82936733953da1f8382b41e,chrnorm,sha,action,2,3
nichmor/minimal-read-yaml@v0.0.2,nichmor,tag,action,3,3
r-lib/actions/setup-tinytex@v2,r-lib,tag,action,3,3
r-lib/actions/setup-r-dependencies@bd49c52ffe281809afa6f0fecbf37483c5dd0b93,r-lib,sha,action,3,3
datavisyn/github-workflows/.github/workflows/build-node-python.yml@new_deployment,datavisyn,branch,reusable_workflow,1,3
