action_ref,owner,pin_type,is_vetted,kind,repo_count,total_uses
pre-commit/action@v3.0.1,pre-commit,tag,false,action,7,7
actions/cache/save@v4,actions,tag,true,action,1,7
tj-actions/changed-files@v45,tj-actions,tag,false,action,5,7
pfizer-analytics/cae-platinum/.github/actions/checkout_and_setup@develop,pfizer-analytics,branch,true,action,2,7
crazy-max/ghaction-import-gpg@v6,crazy-max,tag,false,action,4,7
./.github/workflows/setup-environment.yml,,local,true,reusable_workflow,1,7
./.github/workflows/build-push.yml,,local,true,reusable_workflow,2,7
./.github/workflows/helm-deploy.yml,,local,true,reusable_workflow,2,7
pfizer-github-automation/github-oidc-action@7d50c618771d496dab49a9aaee763b819f314823,pfizer-github-automation,sha,true,action,2,7
astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b,astral-sh,sha,false,action,2,7
azure/login@a457da9ea143d694b1b9c7c869ebb04ebe844ef5,azure,sha,true,action,2,7
actions/setup-java@387ac29b308b003ca37ba93a6cab5eb57c8f5f93,actions,sha,true,action,6,6
actions/upload-release-asset@v1,actions,tag,true,action,6,6
docker/login-action@v1,docker,tag,true,action,4,6
actions/cache@v1,actions,tag,true,action,3,6
./.github/actions/create-ecr-repo,,local,true,action,1,6
pfizer-analytics/vessel-rfc-automation/.github/actions/rfc-add-notes@main,pfizer-analytics,branch,true,action,1,6
stCarolas/setup-maven@v4.4,stCarolas,tag,false,action,3,6
pfizer-analytics/sdc-xwrdm-github-actions-tools/actions/tag-image@v1,pfizer-analytics,tag,true,action,5,6
actions/checkout@v6.0.1,actions,tag,true,action,6,6
repo-sync/pull-request@v2,repo-sync,tag,false,action,4,6
technote-space/get-diff-action@v6,technote-space,tag,false,action,1,6
hashicorp/setup-terraform@v2,hashicorp,tag,true,action,3,6
./.github/actions/git-diff-matrix,,local,true,action,1,6
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_prep-deployment.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,2,6
actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405,actions,sha,true,action,3,6
actions/github-script@60a0d83039c74a4aee543508d2ffcb1c3799cdea,actions,sha,true,action,6,6
actions/download-artifact@3e5f45b2cfb9172054b4087a40e8e0b5a5461e7c,actions,sha,true,action,1,6
astral-sh/setup-uv@d4b2f3b6ecc6e67c4457f6d3e41ec42d3d0fcb86,astral-sh,sha,false,action,3,6
actions/upload-artifact@v7,actions,tag,true,action,1,6
aws-actions/configure-aws-credentials@ec61189d14ec14c8efccab744f656cffd0e33f37,aws-actions,sha,true,action,1,6
actions/checkout@v4.1.7,actions,tag,true,action,1,6
pfizer-github-automation/sonar-scan-action@v1.4.0,pfizer-github-automation,tag,true,action,6,6
pfizer-github-automation/sudo-unlock@main,pfizer-github-automation,branch,true,action,1,6
snyk/actions/docker@master,snyk,branch,false,action,3,5
actions/setup-node@v1,actions,tag,true,action,3,5
./.github/workflows/service-build-test.yaml,,local,true,reusable_workflow,1,5
tj-actions/changed-files@v44,tj-actions,tag,false,action,4,5
stefanzweifel/git-auto-commit-action@v5,stefanzweifel,tag,false,action,3,5
pfizer-github-automation/github-ssh-keyscan-action@v1.1.1,pfizer-github-automation,tag,true,action,2,5
webfactory/ssh-agent@v0.9.0,webfactory,tag,false,action,2,5
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_pr-validation.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,5,5
pfizer-github-automation/github-oidc-action@1.x,pfizer-github-automation,tag,true,action,4,5
pfizer-analytics/sdc-xwrdm-iac-modules/.github/workflows/reusable-docker-build.yaml@docker-workflow,pfizer-analytics,branch,true,reusable_workflow,4,5
aws-actions/amazon-ecs-render-task-definition@v1,aws-actions,tag,true,action,4,5
./.github/actions/setup-python-poetry,,local,true,action,1,5
astral-sh/setup-uv@v6,astral-sh,tag,false,action,4,5
hashicorp/setup-terraform@v4,hashicorp,tag,true,action,2,5
./.github/workflows/deploy.yml,,local,true,reusable_workflow,1,5
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_snowflake-schema-update.yml@e279fb0978aa88d18115ab45a766deae2e4f4978,pfizer-analytics,sha,true,reusable_workflow,1,5
actions/upload-artifact@v2,actions,tag,true,action,2,4
simple-elf/allure-report-action@master,simple-elf,branch,false,action,1,4
peaceiris/actions-gh-pages@v2,peaceiris,tag,false,action,1,4
dependency-check/Dependency-Check_Action@main,dependency-check,branch,false,action,3,4
docker/setup-buildx-action@8d2750c68a42422c14e847fe6c8ac0403b4cbd6f,docker,sha,true,action,2,4
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_aws-cleanup.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,4,4
